frameTime,meanFrameTumorCells,sdFrameTumorCells,meanNecrotic,sdNecrotic,meanQuiescent,sdQuiescent,meanProliferative2,sdProliferative2,meanHypoxic,sdHypoxic,meanApoptotic,sdApoptotic,meanProliferative1,sdProliferative1,meanNormoxic,sdNormoxic,meanMigrate,sdMigrate,meanKilled,sdKilled
115,23.6,4.74225,0,0,15.1,4.14863,2.9,1.91195,0,0,0,0,5.6,3.50238,547.9,2.42441,0,0,0,0
116,23.8,4.91709,0,0,15.5,4.22295,3.1,1.91195,0,0,0,0,5.2,3.4254,547.4,2.71621,0,0,0,0
117,24.1,4.77144,0,0,15,3.4641,3.7,1.70294,0,0,0,0,5.4,2.67499,547.2,2.85968,0,0,0,0
118,24.2,4.58984,0,0,15.1,3.78447,3.9,2.23358,0,0,0,0,5.2,2.14994,546.9,3.31495,0,0,0,0
119,24.3,4.80856,0,0,15,3.8873,4.1,2.28279,0,0,0,0,5.2,2.14994,546.6,3.13404,0,0,0,0
120,24.7,5.05635,0,0,15.8,5.71159,4.3,2.00278,0,0,0,0,4.6,2.67499,546.6,3.13404,0,0,0,0
121,25.5,5.03874,0,0,15.4,5.75809,4.2,1.39841,0,0,0.1,0.316228,5.8,2.20101,546.4,3.30656,0,0,0,0
122,26,5.20683,0,0,14.8,6.06996,4.3,1.94651,0,0,0.1,0.316228,6.8,2.52982,545.5,3.37474,0,0,0,0
123,26,5.20683,0,0,15.3,5.22919,5.2,1.98886,0,0,0.1,0.316228,5.4,3.40588,545.4,3.3731,0,0,0,0
124,26.5,5.77831,0,0,15.5,5.62238,5.1,2.64365,0,0,0.1,0.316228,5.8,3.8239,545.3,3.16403,0,0,0,0
125,26.9,6.02679,0,0,15.5,5.79751,5.1,2.92309,0,0,0.1,0.316228,6.2,3.8239,544.9,3.41402,0,0,0,0
126,27.8,6.05163,0,0,15.8,5.09466,4.5,2.50555,0,0,0.1,0.316228,7.4,3.40588,544.1,3.10734,0,0,0,0
127,28.1,6.26188,0,0,15.7,5.16505,4.5,2.63523,0,0,0.1,0.316228,7.8,4.46716,543.7,3.05687,0,0,0,0
128,28.4,6.29285,0,0,15.3,5.73585,4.8,2.78089,0,0,0.1,0.316228,8.2,4.56557,543.6,3.09839,0,0,0,0
129,29,5.92546,0,0,15.9,5.98981,4.4,2.75681,0,0,0.1,0.316228,8.6,4.00555,542.8,3.52136,0,0,0,0
130,29.6,5.62139,0,0,17.3,5.1435,3.9,2.02485,0,0,0,0,8.4,2.79682,542.5,3.40751,0,0,0,0
131,30.2,5.63323,0,0,18.1,5.58669,3.5,2.01384,0,0,0,0,8.6,3.89301,541.9,3.17805,0,0,0,0
132,31.1,5.60654,0,0,17.6,5.81569,3.1,1.91195,0,0,0,0,10.4,3.97772,541.5,3.30824,0,0,0,0
133,31.5,5.58271,0,0,18,6.76593,3.1,1.59513,0,0,0.2,0.421637,10.2,5.2873,541.5,3.30824,0,0,0,0
134,31.9,5.70477,0,0,18.6,7.38166,2.9,1.19722,0,0,0.2,0.421637,10.2,5.84618,541.3,3.26769,0,0,0,0
135,32.2,5.90292,0,0,20.2,6.94102,2.8,0.918937,0,0,0.2,0.421637,9,5.0111,540.4,3.02581,0,0,0,0
136,32.5,5.79751,0,0,20.5,7.33712,2.8,1.0328,0,0,0.2,0.421637,9,5.27046,540.2,3.15524,0,0,0,0
137,33.1,5.89633,0,0,20.9,7.23341,2.4,0.843274,0,0,0.2,0.421637,9.6,5.56177,539.6,3.20416,0,0,0,0
138,33.3,5.90762,0,0,21.7,6.49872,2.6,1.26491,0,0,0.2,0.421637,8.8,5.51362,539.2,2.97396,0,0,0,0
139,33.5,6.22272,0,0,23.1,5.70477,2.4,1.17379,0,0,0.2,0.421637,7.8,4.04969,538.8,2.85968,0,0,0,0
140,33.7,6.32543,0,0,23.9,5.38413,2.6,1.50555,0,0,0.2,0.421637,7,4.02768,538.5,3.10018,0,0,0,0
141,34.2,6.40833,0,0,25,5.18545,2.7,2.16282,0,0,0.3,0.483046,6.2,3.8239,538.2,2.89828,0,0,0,0
142,34.4,6.58618,0,0,25.5,5.16935,2.6,1.95505,0,0,0.1,0.316228,6.2,3.19026,537.4,2319,0,0,0,0
143,34.6,6.38053,0,0,25.3,5.63816,3.4,3.09839,0,0,0.1,0.316228,5.8,2.39444,537.2,2.20101,0,0,0,0
144,34.8,6.39097,0,0,25,6.39444,4.1,2.92309,0,0,0.1,0.316228,5.6,1.83787,536.8,1.93218,0,0,0,0
145,35.1,6.24411,0,0,24.7,6.60051,4.7,3.12872,0,0,0.1,0.316228,5.6,2.06559,536.1,2.23358,0,0,0,0
146,35.3,6.30784,0,0,25.1,6.10009,5.3,2.58414,0,0,0.1,0.316228,4.8,1.68655,535.9,2.33095,0,0,0,0
147,35.7,6.46443,0,0,24.8,6.28579,5.6,2.75681,0,0,0.1,0.316228,5.2,2.52982,535.6,2.41293,0,0,0,0
148,35.7,6.46443,0,0,24,6.89605,6.7,3.23351,0,0,0.2,0.421637,4.8,2.34758,535.1,2.28279,0,0,0,0
149,36.1,6.53962,0,0,24,7.2111,6.7,2.83039,0,0,0.2,0.421637,5.2,3.01109,534.5,2.12132,0,0,0,0
150,36.6,6.80196,0,0,24.9,7.30981,6.2,2.4404,0,0,0.1,0.316228,5.4,4.32563,534.3,2.16282,0,0,0,0
151,36.9,6.85484,0,0,25.1,7.93655,6.5,2.59272,0,0,0.1,0.316228,5.2,3.9101,534.1,2.46982,0,0,0,0
152,37.9,7.29459,0,0,25.2,7.98332,5.8,2.29976,0,0,0.1,0.316228,6.8,6.19677,533.7,2.58414,0,0,0,0
153,38.8,6.86052,0,0,25.3,7.6891,5.2,2.29976,0,0,0.1,0.316228,8.2,5.84618,533.3,2.58414,0,0,0,0
154,39.7,6.63409,0,0,25.7,7.6891,4.5,2.06828,0,0,0.1,0.316228,9.4,6.25744,532.9,2.88483,0,0,0,0
155,40.5,6.63744,0,0,24.9,6.87103,4.9,1.44914,0,0,0.1,0.316228,10.6,5.16828,532.6,3.20416,0,0,0,0
156,41.2,6.95701,0,0,25.5,6.96419,4.4,1.3499,0,0,0.1,0.316228,11.2,5.51362,532.2,3.19026,0,0,0,0
157,42.2,7.80028,0,0,24.7,7.05612,4.1,1.52388,0,0,0,0,13.4,6.46701,531.7,3.12872,0,0,0,0
158,42.6,7.69126,0,0,25.4,6.88315,3.8,1.39841,0,0,0,0,13.4,5.66078,531.1,2.84605,0,0,0,0
159,42.7,7.63108,0,0,25.8,6.82805,4.5,1.43372,0,0,0,0,12.4,4.8808,530.9,2.80674,0,0,0,0
160,43.3,7.52846,0,0,25.6,7.0111,4.7,1.33749,0,0,0,0,13,5.18545,530.3,2.83039,0,0,0,0
161,43.6,7.53068,0,0,26.9,7.7093,5.1,1.96921,0,0,0,0,11.6,4.59952,530.1,2.80674,0,0,0,0
162,43.9,7.34015,0,0,28,6.63325,5.4,1.57762,0,0,0.1,0.316228,10.4,4.59952,529.8,2.78089,0,0,0,0
163,44.1,7.34015,0,0,29.2,6.0148,5.8,1.93218,0,0,0.1,0.316228,9,4.13656,529.7,2.79086,0,0,0,0
164,45.3,7.57261,0,0,30.3,5.86989,5,1.49071,0,0,0.2,0.421637,9.8,2.89828,529.4,3.1693,0,0,0,0
165,45.5,7.69199,0,0,31.5,6.5192,5,1.33333,0,0,0.2,0.421637,8.8,2.69979,528.8,3.70585,0,0,0,0
166,46.3,7.51369,0,0,33,8.21922,4.8,1.75119,0,0,0.3,0.483046,8.2,3.04777,528.5,3.80789,0,0,0,0
167,46.4,7.51591,0,0,32.7,7.88881,5.8,2.39444,0,0,0.3,0.483046,7.6,2.79682,528.4,3.83551,0,0,0,0
168,47.2,7.46548,0,0,31.9,6.9033,6,2.53859,0,0,0.3,0.483046,9,2.86744,528,3.94405,0,0,0,0
169,48,7.51295,0,0,32.8,6.49444,5.5,2.63523,0,0,0.3,0.483046,9.4,2.67499,527.8,3.9101,0,0,0,0
170,48.7,7.25795,0,0,32.8,6.21468,5.4,2.98887,0,0,0.3,0.483046,10.2,3.93841,527.1,3.69534,0,0,0,0
171,49.2,7.58361,0,0,32.5,5.75905,5.6,2319,0,0,0.3,0.674949,10.8,3.15524,526.5,3.62859,0,0,0,0
172,49.8,7.82872,0,0,32,6.03692,5.9,1.79196,0,0,0.3,0.674949,11.6,3.86437,525.9,3.38132,0,0,0,0
173,50.1,8.04777,0,0,33.5,6.45067,6.4,1.64655,0,0,0.2,0.632456,10,2.98142,525.3,3.56059,0,0,0,0
174,50.3,7.80385,0,0,33.3,6.30784,6.8,1.93218,0,0,0.2,0.632456,10,2.66667,524.3,3.26769,0,0,0,0
175,50.8,7.88529,0,0,34.3,5.9264,6.7,2.16282,0,0,0.2,0.421637,9.6,3.50238,523.8,3.25918,0,0,0,0
176,51.9,8.41229,0,0,33.7,5.57873,6.4,2.91357,0,0,0.2,0.421637,11.6,4.78888,523.5,3.10018,0,0,0,0
177,52.9,8.67243,0,0,34.6,5.52167,6,3.09121,0,0,0.3,0.483046,12,5.07718,522.8,3.52136,0,0,0,0
178,53.2,8.61265,0,0,35.5,5.6421,6.4,3.1693,0,0,0.3,0.483046,11,5.27046,522.3,3.74314,0,0,0,0
179,53.8,8.97899,0,0,36.5,5.33854,6.2,2.78089,0,0,0.3,0.483046,10.8,5.97774,522,3.77124,0,0,0,0
180,54.5,8.83491,0,0,37.3,5.86989,5.8,2.25093,0,0,0.2,0.421637,11.2,4.63801,521.4,3.56526,0,0,0,0
181,55.4,8.59199,0,0,37.6,5.98517,5.8,1.93218,0,0,0.2,0.421637,11.8,3.58391,520.7,3.77271,0,0,0,0
182,56.3,8.76926,0,0,37.7,6.58365,5.5,1.64992,0,0,0.3,0.483046,12.8,3.29309,520.2,4.18463,0,0,0,0
183,56.9,8.96227,0,0,37.5,6.11465,5.5,1.95789,0,0,0.3,0.483046,13.6,3.86437,519.7,4.49815,0,0,0,0
184,57.3,9.04372,0,0,37.8,7.3303,5.8,1.93218,0,0,0.3,0.483046,13.4,4.32563,519.3,4.39823,0,0,0,0
185,58.1,9.36245,0,0,39.8,8.57386,5.2,1.61933,0,0,0.3,0.483046,12.8,5.82714,518.7,4.71522,0,0,0,0
186,58.6,9.39503,0,0,40.8,8.82924,5.6,1.83787,0,0,0.2,0.421637,12,6.18241,518.1,4.97661,0,0,0,0
187,59.3,9.18997,0,0,41.2,8.71525,5.1,2.13177,0,0,0.2,0.421637,12.8,6.33859,517.4,4.92612,0,0,0,0
188,59.7,9.20205,0,0,41.4,9.41866,5.6,2.1187,0.1,0.316228,0.2,0.421637,12.4,5.56177,517,4.76095,0,0,0,0
189,60.1,9.23099,0.1,0.316228,41.6,9.47746,6.6,3.02581,0,0,0.2,0.421637,11.6,4.50185,516.7,5.03433,0,0,0,0
190,61,9.4163,0.1,0.316228,42.3,8.84496,6.7,2.98329,0,0,0.3,0.483046,11.6,3.86437,516.2,5.18116,0,0,0,0
191,61.5,9.16818,0.1,0.316228,43,9.09212,7.2,3.70585,0,0,0.2,0.421637,11,3.29983,515.5,5.03874,0,0,0,0
192,62.1,9.20688,0.1,0.316228,43.1,9.06091,7.5,3.68932,0.1,0.316228,0.3,0.674949,11,3.91578,514.8,5.30827,0,0,0,0
193,62.8,8.82924,0.2,0.421637,43.7,8.9697,7.1,3.14289,0,0,0.2,0.632456,11.6,3.86437,514.5,5.40062,0,0,0,0
194,63,8.7178,0.2,0.421637,44.6,9.33571,7.6,2.87518,0,0,0.2,0.632456,10.4,3.23866,513.8,5.63323,0,0,0,0
195,64,8.76863,0.2,0.421637,44.9,9.15848,7.5,2.75882,0.1,0.316228,0.2,0.632456,11.1,3.72529,513.6,5.2957,0,0,0,0
196,64.2,8.75341,0.3,0.674949,45.6,9.60555,8,2.90593,0,0,0.2,0.632456,10.1,4.28045,513.2,5.11642,0,0,0,0
197,65.1,8.50425,0.3,0.674949,45.8,9.40213,7.7,2.49666,0,0,0.2,0.632456,11.1,4.28045,512.8,5.59365,0,0,0,0
198,66.5,8.83491,0.3,0.674949,45.4,9.77753,7.4,2.41293,0.1,0.316228,0.2,0.632456,13.1,6.08185,512.1,5.10882,0,0,0,0
199,67.4,8.69483,0.4,0.699206,46.2,9.79569,7.3,2.00278,0,0,0.1,0.316228,13.4,5.96657,511.4,5.2111,0,0,0,0
200,68.5,9.53648,0.4,0.699206,46.1,8.71079,7.3,1.76698,0.1,0.316228,0.2,0.421637,14.4,7.4117,510.7,5.33437,0,0,0,0
201,69.3,9.49912,0.5,0.707107,46.5,8.39643,7,2.16025,0.2,0.421637,0.1,0.316228,15,7.37865,510.3,5.45792,0,0,0,0
202,69.7,9.83249,0.7,0.823273,47.2,7.80028,7.4,1.95505,0,0,0.2,0.421637,14.2,6.28579,509.8,5.84618,0,0,0,0
203,70.4,9.72054,0.7,0.823273,47.2,7.55425,7.1,1.85293,0,0,0.2,0.421637,15.2,5.75036,509.2,5.97774,0,0,0,0
204,71.3,9.90006,0.7,0.823273,48,7.07107,7.2,2.14994,0.1,0.316228,0.3,0.483046,15,5.51765,508.9,5.87745,0,0,0,0
205,72,9.56847,0.8,0.788811,47,7.05534,7.8,1.93218,0.1,0.316228,0.3,0.483046,16,5.81187,508.3,6.12917,0,0,0,0
206,72.6,9.73196,0.9,0.875595,47.9,6.33246,7.8,1.39841,0.2,0.421637,0.4,0.516398,15.4,4.99333,508,6.48074,0,0,0,0
207,73.7,9.49912,1.1,0.737865,49.8,6.95701,7.6,2.17051,0,0,0.4,0.516398,14.8,4.82586,507.4,6.75278,0,0,0,0
208,74.6,9.3832,1.1,0.737865,50,6.86375,8.4,2.54733,0.1,0.316228,0.4,0.516398,14.6,4.00555,506.7,6.92901,0,0,0,0
209,75.6,9.66322,1.2,0.788811,51.5,8.80972,7.8,2.48551,0.2,0.421637,0.3,0.483046,14.6,3.53396,506.1,6.93542,0,0,0,0
210,76.2,10.2502,1.4,0.516398,52.2,8.62554,8,2.44949,0.2,0.421637,0.4,0.516398,14,4.32049,505.5,7.27629,0,0,0,0
